num,stn_name_heb,stn_name,x_itm,y_itm,lon,lat,elevation
1,כפר גלעדי,KEFAR GILADI,253490,793950,35.5696º,33.2404º,365
2,דפנה ,DAFNA,259600,792550,35.6350º,33.2277º,135
3,כפר בלום,KEFAR BLUM,257590,786320,35.6133º,33.1716º,75
4,מרום גולן פיכמן,MEROM GOLAN PICMAN,275450,781650,35.8045º,33.1288º,945
5,ראש הנקרה,ROSH HANIQRA,210430,776160,35.1079º,33.0806º,10
6,אילון,ELON,220660,774470,35.2173º,33.0653º,300
7,איילת השחר,AYYELET HASHAHAR,253940,769980,35.5735º,33.0244º,170
8,שבי ציון,SHAVE ZIYYON,208980,765390,35.0923º,32.9836º,5
9,צפת הר כנען,ZEFAT HAR KENAAN,247740,765030,35.5070º,32.9800º,936
10,חרשים,HARASHIM,231070,762330,35.3287º,32.9560º,830
11,עמיעד,AMMIAD,248360,757830,35.5135º,32.9150º,215
12,גמלא,GAMLA,270340,756870,35.7484º,32.9056º,405
13,אשחר,ESHHAR,228530,754390,35.3015º,32.8844º,370
14,כפר נחום,KEFAR NAHUM,254520,754330,35.5792º,32.8833º,-200
15,בית ציידא,BET ZAYDA,261180,753990,35.6504º,32.8800º,-200
16,דיר חנא,DEIR HANNA,235330,751930,35.3741º,32.8621º,280
17,אפק,AFEQ,210840,750200,35.1123º,32.8466º,10
18,אבני איתן,AVNE ETAN,271680,747090,35.7622º,32.8174º,375
19,חיפה נמל,HAIFA PORT,200090,748190,34.9977º,32.8283º,10
20,"חיפה בז""ן",HAIFA REFINERIES,205450,745420,35.0548º,32.8034º,5
21,חיפה טכניון,HAIFA TECHNION,202390,742120,35.0223º,32.7736º,245
22,חיפה אוניברסיטה,HAIFA UNIVERSITY,202240,740730,35.0208º,32.7611º,475
23,נווה יער,NEWE YAAR,217010,734820,35.1784º,32.7078º,115
24,תבור  כדורי,TAVOR KADOORIE,238440,734540,35.4069º,32.7053º,145
25,צמח,ZEMAH,255030,734270,35.5839º,32.7024º,-200
26,יבנאל,YAVNEEL,248110,733730,35.5101º,32.6978º,0
27,מסדה,MASSADA,256610,732150,35.6008º,32.6833º,-200
28,עין כרמל,EN KARMEL,196480,731830,34.9594º,32.6808º,25
29,מרחביה,MERHAVYA,229120,723160,35.3075º,32.6028º,60
30,עין השופט,EN HASHOFET,209310,723170,35.0964º,32.6028º,265
31,עפולה ניר העמק,AFULA NIR HAEMEQ,226260,722410,35.2769º,32.5960º,60
32,זכרון יעקב,ZIKHRON YAAQOV,195990,719810,34.9546º,32.5724º,175
33,גלעד,GALED,207060,718020,35.0725º,32.5564º,180
34,תל יוסף,TEL YOSEF,237300,716900,35.3945º,32.5462º,-65
35,מעלה גלבוע,MAALE GILBOA,239230,709670,35.4150º,32.4810º,495
36,חדרה נמל,HADERA PORT,189090,708830,34.8815º,32.4732º,5
37,חוות עדן,EDEN FARM,246190,708240,35.4888º,32.4679º,-120
38,שדה אליהו,SEDE ELIYYAHU,248250,705030,35.5106º,32.4390º,-185
39,עין החורש,EN HAHORESH,194330,699330,34.9376º,32.3877º,15
40,קרני שומרון,QARNE SHOMERON,209220,675740,35.0959º,32.1752º,330
41,איתמר,ITAMAR,233320,674050,35.3513º,32.1598º,820
42,הכפר הירוק,HAKFAR HAYAROK,184350,670790,34.8324º,32.1300º,65
43,שערי תקוה,SHAARE TIQWA,202570,670270,35.0254º,32.1257º,195
44,אריאל,ARIEL,220110,668020,35.2114º,32.1056º,685
45,תל אביב חוף,TEL AVIV COAST,177380,662840,34.7588º,32.0580º,10
46,בית דגן,BET DAGAN,182550,657190,34.8138º,32.0073º,31
47,גלגל,GILGAL,242740,656040,35.4509º,31.9973º,-255
48,הר חרשה,HAR HARASHA,214290,650210,35.1499º,31.9449º,770
49,אשדוד נמל,ASHDOD PORT,165800,638080,34.6377º,31.8342º,5
50,נחשון,NAHSHON,196460,637940,34.9616º,31.8341º,180
51,קבוצת יבנה,QEVUZAT YAVNE,174000,636080,34.7244º,31.8166º,50
52,בית הערבה,BET HAARAVA,247540,634760,35.5010º,31.8052º,-330
53,חפץ חיים,HAFEZ HAYYIM,181630,633200,34.8050º,31.7910º,80
54,צובה,ZOVA,212000,632780,35.1258º,31.7878º,710
55,ירושלים מרכז,JERUSALEM CENTRE,221080,631980,35.2217º,31.7806º,810
56,מעלה אדומים,MAALE ADUMMIM,228130,631250,35.2961º,31.7740º,490
57,ירושלים גבעת רם,JERUSALEM GIVAT RAM,218770,630850,35.1973º,31.7704º,770
58,ניצן,NIZZAN,165470,626720,34.6348º,31.7319º,30
59,בית ג'ימל,BEIT JIMAL,197830,625830,34.9762º,31.7248º,355
60,"נתיב הל""ה",NETIV HALAMED HE,197640,621940,34.9744º,31.6898º,275
61,ראש צורים,ROSH ZURIM,211770,619110,35.1233º,31.6644º,950
62,נגבה,NEGBA,169690,618560,34.6798º,31.6585º,95
63,אשקלון נמל,ASHQELON PORT,154680,616550,34.5215º,31.6394º,5
64,גת,GAT,180270,615390,34.7913º,31.6303º,140
65,מצוקי דרגות,METZOKE DRAGOT,237230,610660,35.3916º,31.5881º,20
66,דורות,DOROT,166600,601390,34.6480º,31.5036º,115
67,עין גדי,EN GEDI,236830,592030,35.3871º,31.4200º,-415
68,להב,LAHAV,187910,587750,34.8729º,31.3812º,460
69,שני,SHANI,206300,585000,35.0662º,31.3568º,700
70,"בשור, חווה",BESOR FARM,141830,575830,34.3894º,31.2716º,110
71,באר שבע,BEER SHEVA,180880,573390,34.7995º,31.2515º,279
72,ערד,ARAD,217650,573140,35.1855º,31.2500º,564
73,נבטים,NEVATIM,192600,568200,34.9227º,31.2050º,350
74,צומת הנגב,ZOMET HANEGEV,185730,553360,34.8513º,31.0708º,360
75,סדום,SEDOM,237320,548850,35.3919º,31.0306º,-388
76,שדה בוקר ,SEDE BOQER,180300,531140,34.7950º,30.8702º,475
77,עזוז,EZUZ,149320,522510,34.4715º,30.7911º,335
